Date,Open,High,Low,Close,Adj Close,Volume
2020-08-14,59.389999,59.389999,59.389999,59.389999,50.476437,0
2020-08-17,60.029999,60.029999,60.029999,60.029999,51.020382,0
2020-08-18,60.389999,60.389999,60.389999,60.389999,51.326351,0
2020-08-19,59.959999,59.959999,59.959999,59.959999,50.960884,0
2020-08-20,60.480000,60.480000,60.480000,60.480000,51.402840,0
2020-08-21,60.470001,60.470001,60.470001,60.470001,51.394344,0
2020-08-24,60.660000,60.660000,60.660000,60.660000,51.555828,0
2020-08-25,61.200001,61.200001,61.200001,61.200001,52.014782,0
2020-08-26,62.560001,62.560001,62.560001,62.560001,53.170666,0
2020-08-27,62.500000,62.500000,62.500000,62.500000,53.119671,0
2020-08-28,62.820000,62.820000,62.820000,62.820000,53.391640,0
2020-08-31,63.180000,63.180000,63.180000,63.180000,53.697613,0
2020-09-01,63.720001,63.720001,63.720001,63.720001,54.156567,0
2020-09-02,64.279999,64.279999,64.279999,64.279999,54.632519,0
2020-09-03,61.740002,61.740002,61.740002,61.740002,52.473736,0
2020-09-04,61.000000,61.000000,61.000000,61.000000,51.844799,0
2020-09-08,58.959999,58.959999,58.959999,58.959999,50.110973,0
2020-09-09,60.270000,60.270000,60.270000,60.270000,51.224361,0
2020-09-10,59.279999,59.279999,59.279999,59.279999,50.382946,0
2020-09-11,59.200001,59.200001,59.200001,59.200001,50.314953,0
2020-09-14,60.209999,60.209999,60.209999,60.209999,51.173367,0
2020-09-15,61.080002,61.080002,61.080002,61.080002,51.912792,0
2020-09-16,60.590000,60.590000,60.590000,60.590000,51.496334,0
2020-09-17,59.910000,59.910000,59.910000,59.910000,50.918392,0
2020-09-18,59.680000,59.680000,59.680000,59.680000,50.722912,0
2020-09-21,59.250000,59.250000,59.250000,59.250000,50.357445,0
2020-09-22,59.820000,59.820000,59.820000,59.820000,50.841900,0
2020-09-23,58.279999,58.279999,58.279999,58.279999,49.533031,0
2020-09-24,58.330002,58.330002,58.330002,58.330002,49.575527,0
2020-09-25,59.500000,59.500000,59.500000,59.500000,50.569927,0
2020-09-28,60.380001,60.380001,60.380001,60.380001,51.317852,0
2020-09-29,60.360001,60.360001,60.360001,60.360001,51.300858,0
2020-09-30,60.730000,60.730000,60.730000,60.730000,51.615322,0
2020-10-01,61.580002,61.580002,61.580002,61.580002,52.337749,0
2020-10-02,60.549999,60.549999,60.549999,60.549999,51.462334,0
2020-10-05,61.750000,61.750000,61.750000,61.750000,52.482235,0
2020-10-06,60.869999,60.869999,60.869999,60.869999,51.734306,0
2020-10-07,62.049999,62.049999,62.049999,62.049999,52.737209,0
2020-10-08,62.419998,62.419998,62.419998,62.419998,53.051678,0
2020-10-09,63.150002,63.150002,63.150002,63.150002,53.672115,0
2020-10-12,64.000000,64.000000,64.000000,64.000000,54.394543,0
2020-10-13,64.050003,64.050003,64.050003,64.050003,54.437038,0
2020-10-14,63.599998,63.599998,63.599998,63.599998,54.054573,0
2020-10-15,63.220001,63.220001,63.220001,63.220001,53.731613,0
2020-10-16,63.119999,63.119999,63.119999,63.119999,53.646618,0
2020-10-19,62.349998,62.349998,62.349998,62.349998,52.992180,0
2020-10-20,62.490002,62.490002,62.490002,62.490002,53.111172,0
2020-10-21,62.189999,62.189999,62.189999,62.189999,52.856194,0
2020-10-22,62.369999,62.369999,62.369999,62.369999,53.009182,0
2020-10-23,62.730000,62.730000,62.730000,62.730000,53.315151,0
2020-10-26,61.619999,61.619999,61.619999,61.619999,52.371746,0
2020-10-27,61.750000,61.750000,61.750000,61.750000,52.482235,0
2020-10-28,59.759998,59.759998,59.759998,59.759998,50.790905,0
2020-10-29,60.459999,60.459999,60.459999,60.459999,51.385845,0
